, Município , Confirmados , Novos Confirmados , Incidência /100 mil hab , Óbitos , Novos Óbitos , Mortalidade /100 mil hab
, Vitória das Missões , 1 , 0 , 31.9 , 0 , 0 , 0
, Dom Pedro de Alcântara , 1 , 0 , 39.5 , 0 , 0 , 0
, Capela de Santana , 1 , 0 , 8.4 , 0 , 0 , 0
, Monte Alegre dos Campos , 1 , 0 , 31.0 , 0 , 0 , 0
, Independência , 1 , 0 , 16.2 , 0 , 0 , 0
, Pantano Grande , 1 , 0 , 10.9 , 0 , 0 , 0
, Coronel Pilar , 1 , 0 , 61.4 , 0 , 0 , 0
, Vale Real , 1 , 0 , 16.9 , 0 , 0 , 0
, Quatro Irmãos , 1 , 0 , 54.1 , 0 , 0 , 0
, Jóia , 1 , 0 , 11.7 , 0 , 0 , 0
, São Vicente do Sul , 1 , 0 , 11.5 , 1 , 0 , 11.5
, Cândido Godói , 1 , 0 , 16.1 , 0 , 0 , 0
, Passo do Sobrado , 1 , 0 , 15.3 , 0 , 0 , 0
, Faxinal do Soturno , 1 , 0 , 15.0 , 0 , 0 , 0
, Jaguarão , 1 , 0 , 3.7 , 0 , 0 , 0
, São Paulo das Missões , 1 , 0 , 17.3 , 0 , 0 , 0
, Paulo Bento , 1 , 0 , 43.6 , 0 , 0 , 0
, Pinheirinho do Vale , 1 , 0 , 20.5 , 0 , 0 , 0
, Liberato Salzano , 1 , 0 , 19.2 , 0 , 0 , 0
, Guarani das Missões , 1 , 0 , 13.3 , 1 , 0 , 13.3
, Lindolfo Collor , 1 , 0 , 16.5 , 1 , 0 , 16.5
, Mostardas , 1 , 0 , 7.8 , 0 , 0 , 0
, Rodeio Bonito , 1 , 0 , 17.0 , 0 , 0 , 0
, Coronel Barros , 1 , 0 , 39.7 , 0 , 0 , 0
, Novo Machado , 1 , 0 , 30.1 , 0 , 0 , 0
, Barra Funda , 1 , 0 , 39.4 , 0 , 0 , 0
, São Pedro do Sul , 1 , 0 , 6.2 , 0 , 0 , 0
, Forquetinha , 1 , 0 , 41.5 , 0 , 0 , 0
, Ipê , 1 , 0 , 15.1 , 0 , 0 , 0
, Cristal do Sul , 1 , 0 , 35.1 , 0 , 0 , 0
, Quinze de Novembro , 1 , 0 , 26.3 , 0 , 0 , 0
, Caiçara , 1 , 0 , 21.1 , 0 , 0 , 0
, Guabiju , 1 , 1 , 66.5 , 0 , 0 , 0
, Nova Pádua , 1 , 0 , 39.2 , 0 , 0 , 0
, Engenho Velho , 1 , 0 , 96.7 , 0 , 0 , 0
, Tapes , 1 , 0 , 5.8 , 0 , 0 , 0
, Sertão Santana , 1 , 0 , 15.4 , 0 , 0 , 0
, Pedro Osório , 1 , 0 , 12.9 , 0 , 0 , 0
, Picada Café , 1 , 0 , 17.4 , 0 , 0 , 0
